, YR   MON  TOTAL ClimAdjust ANOM 
707,2008  12   25.74   26.60   -0.86
708,2009   1   25.67   26.55   -0.89
709,2009   2   25.97   26.76   -0.79
710,2009   3   26.60   27.29   -0.70
711,2009   4   27.48   27.83   -0.35
712,2009   5   27.99   27.94    0.06
713,2009   6   28.04   27.73    0.31
714,2009   7   27.77   27.29    0.48
715,2009   8   27.42   26.86    0.56
716,2009   9   27.40   26.72    0.68
717,2009  10   27.61   26.72    0.89
718,2009  11   28.15   26.70    1.45
719,2009  12   28.33   26.60    1.73
720,2010   1   28.06   26.55    1.51
721,2010   2   28.01   26.76    1.25
722,2010   3   28.19   27.29    0.90
723,2010   4   28.21   27.83    0.38
724,2010   5   27.72   27.94   -0.22
725,2010   6   27.04   27.73   -0.69
726,2010   7   26.22   27.29   -1.07
727,2010   8   25.47   26.86   -1.38
728,2010   9   25.12   26.72   -1.59
729,2010  10   25.03   26.72   -1.69
730,2010  11   25.06   26.70   -1.64
731,2010  12   25.00   26.60   -1.60
732,2011   1   25.01   26.55   -1.54
733,2011   2   25.66   26.76   -1.11
734,2011   3   26.38   27.29   -0.92
735,2011   4   27.07   27.83   -0.76
736,2011   5   27.41   27.94   -0.52
737,2011   6   27.35   27.73   -0.38
738,2011   7   26.87   27.29   -0.42
739,2011   8   26.21   26.86   -0.64
740,2011   9   25.92   26.72   -0.80
741,2011  10   25.67   26.72   -1.05
742,2011  11   25.52   26.70   -1.18
743,2011  12   25.55   26.60   -1.05
744,2012   1   25.68   26.55   -0.87
745,2012   2   26.10   26.76   -0.67
746,2012   3   26.69   27.29   -0.61
747,2012   4   27.33   27.83   -0.49
748,2012   5   27.62   27.94   -0.32
749,2012   6   27.75   27.73    0.02
750,2012   7   27.54   27.29    0.25
751,2012   8   27.32   26.86    0.47
752,2012   9   27.10   26.72    0.38
753,2012  10   26.98   26.72    0.26
754,2012  11   26.86   26.70    0.15
755,2012  12   26.35   26.60   -0.25
756,2013   1   26.02   26.55   -0.53
757,2013   2   26.25   26.76   -0.51
758,2013   3   27.04   27.29   -0.25
759,2013   4   27.58   27.83   -0.25
760,2013   5   27.53   27.94   -0.40
761,2013   6   27.30   27.73   -0.43
762,2013   7   26.90   27.29   -0.39
763,2013   8   26.47   26.86   -0.38
764,2013   9   26.53   26.72   -0.18
765,2013  10   26.52   26.72   -0.20
766,2013  11   26.56   26.70   -0.14
767,2013  12   26.43   26.60   -0.17
768,2014   1   26.06   26.55   -0.49
769,2014   2   26.15   26.76   -0.61
770,2014   3   27.02   27.29   -0.28
771,2014   4   27.91   27.83    0.09
772,2014   5   28.26   27.94    0.32
773,2014   6   27.96   27.73    0.23
774,2014   7   27.23   27.29   -0.06
775,2014   8   26.83   26.86   -0.03
776,2014   9   27.01   26.72    0.29
777,2014  10   27.16   26.72    0.44
778,2014  11   27.46   26.70    0.75
779,2014  12   27.32   26.60    0.72
780,2015   1   27.06   26.55    0.51
781,2015   2   27.18   26.76    0.42
782,2015   3   27.77   27.29    0.47
783,2015   4   28.53   27.83    0.70
784,2015   5   28.85   27.94    0.92
785,2015   6   28.90   27.73    1.17
786,2015   7   28.75   27.29    1.45
787,2015   8   28.78   26.86    1.93
788,2015   9   28.92   26.72    2.20
789,2015  10   29.07   26.72    2.36
790,2015  11   29.41   26.70    2.71
791,2015  12   29.26   26.60    2.65
792,2016   1   29.11   26.55    2.56
793,2016   2   29.00   26.76    2.24
794,2016   3   28.90   27.29    1.61
795,2016   4   28.73   27.83    0.90
796,2016   5   28.24   27.94    0.30
797,2016   6   27.70   27.73   -0.03
798,2016   7   26.82   27.29   -0.47
799,2016   8   26.28   26.86   -0.57
800,2016   9   26.15   26.72   -0.57
801,2016  10   25.98   26.72   -0.74
802,2016  11   25.95   26.70   -0.76
803,2016  12   26.10   26.60   -0.50
804,2017   1   26.12   26.55   -0.43
805,2017   2   26.68   26.76   -0.08
806,2017   3   27.33   27.29    0.03
807,2017   4   28.04   27.83    0.21
808,2017   5   28.30   27.94    0.36
809,2017   6   28.06   27.73    0.33
810,2017   7   27.54   27.29    0.25
811,2017   8   26.70   26.86   -0.16
812,2017   9   26.29   26.72   -0.43
813,2017  10   26.15   26.72   -0.56
814,2017  11   25.74   26.70   -0.96
815,2017  12   25.62   26.60   -0.99
816,2018   1   25.57   26.55   -0.98
817,2018   2   25.98   26.76   -0.78
818,2018   3   26.50   27.29   -0.80
819,2018   4   27.32   27.83   -0.51
820,2018   5   27.74   27.94   -0.20
821,2018   6   27.77   27.73    0.05
822,2018   7   27.42   27.29    0.12
823,2018   8   26.95   26.86    0.09
824,2018   9   27.19   26.72    0.47
825,2018  10   27.62   26.72    0.90
826,2018  11   27.61   26.70    0.90
827,2018  12   27.49   26.60    0.89
828,2019   1   27.20   26.55    0.65
829,2019   2   27.48   26.76    0.71
830,2019   3   28.10   27.29    0.80
831,2019   4   28.45   27.83    0.62
832,2019   5   28.49   27.94    0.55
833,2019   6   28.18   27.73    0.45
834,2019   7   27.64   27.29    0.35
835,2019   8   26.90   26.86    0.04
836,2019   9   26.75   26.72    0.04
837,2019  10   27.20   26.72    0.48
838,2019  11   27.23   26.70    0.52
839,2019  12   27.12   26.60    0.52
840,2020   1   27.16   26.55    0.60
841,2020   2   27.13   26.76    0.37
842,2020   3   27.77   27.29    0.48
843,2020   4   28.19   27.83    0.36
844,2020   5   27.66   27.94   -0.27
845,2020   6   27.39   27.73   -0.34
846,2020   7   26.99   27.29   -0.30
847,2020   8   26.27   26.86   -0.59
848,2020   9   25.89   26.72   -0.83
849,2020  10   25.46   26.72   -1.25
850,2020  11   25.28   26.70   -1.42
851,2020  12   25.45   26.60   -1.15
852,2021   1   25.56   26.55   -0.99
853,2021   2   25.76   26.76   -1.00
854,2021   3   26.50   27.29   -0.80
855,2021   4   27.11   27.83   -0.72
856,2021   5   27.48   27.94   -0.46
857,2021   6   27.45   27.73   -0.28
858,2021   7   26.90   27.29   -0.39
859,2021   8   26.32   26.86   -0.53
860,2021   9   26.16   26.72   -0.55
861,2021  10   25.78   26.72   -0.94
862,2021  11   25.76   26.70   -0.94
863,2021  12   25.54   26.60   -1.06
864,2022   1   25.60   26.55   -0.95
865,2022   2   25.87   26.76   -0.89
866,2022   3   26.32   27.29   -0.98
867,2022   4   26.70   27.83   -1.12
