, YR   MON  TOTAL ClimAdjust ANOM 
305,1975   6   26.23   27.38   -1.15
306,1975   7   25.90   26.94   -1.04
307,1975   8   25.34   26.54   -1.20
308,1975   9   25.05   26.42   -1.37
309,1975  10   24.89   26.43   -1.54
310,1975  11   25.05   26.43   -1.38
311,1975  12   24.67   26.40   -1.73
312,1976   1   24.54   26.39   -1.84
313,1976   2   25.49   26.59   -1.09
314,1976   3   26.46   27.04   -0.58
315,1976   4   26.89   27.42   -0.53
316,1976   5   27.20   27.51   -0.31
317,1976   6   27.35   27.35   -0.00
318,1976   7   27.12   26.95    0.17
319,1976   8   26.98   26.59    0.38
320,1976   9   27.02   26.51    0.50
321,1976  10   27.46   26.48    0.98
322,1976  11   27.41   26.46    0.95
323,1976  12   27.08   26.43    0.66
324,1977   1   27.32   26.39    0.93
325,1977   2   27.13   26.59    0.55
326,1977   3   27.48   27.04    0.44
327,1977   4   27.45   27.42    0.03
328,1977   5   27.72   27.51    0.22
329,1977   6   27.74   27.35    0.39
330,1977   7   27.38   26.95    0.42
331,1977   8   26.84   26.59    0.25
332,1977   9   27.11   26.51    0.60
333,1977  10   27.34   26.48    0.86
334,1977  11   27.18   26.46    0.72
335,1977  12   27.29   26.43    0.86
336,1978   1   27.17   26.39    0.78
337,1978   2   27.01   26.59    0.42
338,1978   3   27.10   27.04    0.06
339,1978   4   27.12   27.42   -0.30
340,1978   5   27.20   27.51   -0.31
341,1978   6   27.02   27.35   -0.33
342,1978   7   26.74   26.95   -0.22
343,1978   8   26.07   26.59   -0.53
344,1978   9   26.01   26.51   -0.50
345,1978  10   26.25   26.48   -0.23
346,1978  11   26.32   26.46   -0.14
347,1978  12   26.54   26.43    0.11
348,1979   1   26.42   26.39    0.03
349,1979   2   26.54   26.59   -0.04
350,1979   3   27.28   27.04    0.23
351,1979   4   27.84   27.42    0.42
352,1979   5   27.69   27.51    0.19
353,1979   6   27.43   27.35    0.08
354,1979   7   26.82   26.95   -0.13
355,1979   8   26.75   26.59    0.16
356,1979   9   26.99   26.51    0.48
357,1979  10   26.83   26.48    0.35
358,1979  11   26.99   26.46    0.53
359,1979  12   27.11   26.43    0.69
360,1980   1   27.09   26.39    0.70
361,1980   2   26.98   26.59    0.39
362,1980   3   27.32   27.04    0.28
363,1980   4   27.76   27.42    0.34
364,1980   5   28.02   27.51    0.51
365,1980   6   27.94   27.35    0.59
366,1980   7   27.23   26.95    0.28
367,1980   8   26.48   26.59   -0.11
368,1980   9   26.44   26.51   -0.07
369,1980  10   26.46   26.48   -0.02
370,1980  11   26.60   26.46    0.14
371,1980  12   26.65   26.43    0.22
372,1981   1   26.19   26.57   -0.38
373,1981   2   26.12   26.75   -0.62
374,1981   3   26.66   27.17   -0.51
375,1981   4   27.30   27.59   -0.29
376,1981   5   27.36   27.66   -0.30
377,1981   6   27.27   27.46   -0.19
378,1981   7   26.65   27.02   -0.37
379,1981   8   26.32   26.64   -0.32
380,1981   9   26.52   26.56   -0.04
381,1981  10   26.42   26.53   -0.11
382,1981  11   26.29   26.52   -0.23
383,1981  12   26.40   26.51   -0.11
384,1982   1   26.68   26.57    0.11
385,1982   2   26.60   26.75   -0.15
386,1982   3   27.42   27.17    0.25
387,1982   4   28.03   27.59    0.45
388,1982   5   28.39   27.66    0.72
389,1982   6   28.26   27.46    0.80
390,1982   7   27.66   27.02    0.64
391,1982   8   27.58   26.64    0.93
392,1982   9   28.20   26.56    1.64
393,1982  10   28.69   26.53    2.16
394,1982  11   28.61   26.52    2.09
395,1982  12   28.79   26.51    2.28
