enso_region,country,pop_count,precip_pos_pweight_bin,precip_neg_pweight_bin,temp_pos_pweight_bin,temp_neg_pweight_bin
WA,Romania,22114635.28676,0.0,0.0,0.0,0.0
WA,Russia,146953254.00964382,0.0,0.0,0.0,0.0
TE,Rwanda,9089543.59,0.0,0.0,1.0,0.0
TE,Saint Eustatius,35.03926,1.0,1.0,1.0,1.0
TE,Samoa,174613.9588,1.0,1.0,1.0,1.0
TE,Sao Tome and Principe,137163.981855,0.0,0.0,1.0,0.0
WA,Saudi Arabia,21434298.3417594,0.0,0.0,0.0,0.0
TE,Senegal,10080121.4306,0.0,0.0,1.0,0.0
WA,Serbia,9127264.37,0.0,0.0,0.0,0.0
TE,Seychelles,80898.29719099999,1.0,1.0,1.0,1.0
TE,Sierra Leone,4135193.71212,0.0,0.0,1.0,0.0
TE,Singapore,4445477.5,1.0,1.0,1.0,1.0
WA,Slovakia,6117552.879,0.0,0.0,0.0,0.0
WA,Slovenia,1697948.822,0.0,0.0,0.0,0.0
TE,Solomon Islands,408434.2327173,1.0,1.0,1.0,1.0
TE,Somalia,7662062.99584,1.0,0.0,0.0,0.0
TE,South Africa,44848195.08122532,0.0,0.0,1.0,0.0
TE,South Georgia and South Sandwich Is.,0.0,0.0,0.0,0.0,0.0
WA,South Korea,46464333.24058,1.0,0.0,0.0,0.0
TE,South Sudan,6555203.2975,0.0,0.0,1.0,0.0
WA,Spain,40869269.2809936,1.0,0.0,0.0,0.0
TE,Sri Lanka,18783756.6888013,0.0,0.0,1.0,0.0
TE,St. Barths,7708.015,1.0,1.0,1.0,1.0
TE,St. Helena,4235.5791,1.0,1.0,1.0,1.0
TE,St. Kitts and Nevis,47181.055,1.0,1.0,1.0,1.0
TE,St. Lucia,120173.676,1.0,1.0,1.0,1.0
TE,St. Pierre and Miquelon,6597.20214,1.0,1.0,1.0,1.0
TE,St. Vincent and the Grenadines,109373.0814,0.0,1.0,1.0,0.0
TE,Sudan,28026498.7280229,0.0,0.0,1.0,0.0
TE,Suriname,470697.6146197121,0.0,1.0,1.0,0.0
WA,Sweden,8745337.6633147,0.0,0.0,0.0,0.0
WA,Switzerland,6226864.134000001,0.0,0.0,0.0,0.0
WA,Syria,17123988.905559998,1.0,0.0,0.0,0.0
WA,Tajikistan,6252958.53594,1.0,0.0,0.0,0.0
TE,Tanzania,33232362.857675,0.0,0.0,1.0,0.0
TE,Thailand,62500403.763399996,0.0,0.0,1.0,0.0
TE,Timor-Leste,961222.4968,0.0,1.0,1.0,1.0
TE,Togo,4626568.181,0.0,0.0,1.0,0.0
TE,Tokelau,447.6712,1.0,1.0,1.0,1.0
TE,Tonga,82378.030009,1.0,1.0,1.0,1.0
TE,Trinidad and Tobago,1275362.0052150302,0.0,1.0,1.0,0.0
WA,Tunisia,9497099.74797,0.0,0.0,0.0,0.0
WA,Turkmenistan,5033794.79903,1.0,0.0,0.0,0.0
TE,Turks and Caicos Islands,18875.99948,1.0,1.0,1.0,1.0
TE,Tuvalu,7131.24673,1.0,1.0,1.0,1.0
TE,Uganda,23890835.164440002,1.0,1.0,1.0,0.0
WA,Ukraine,48814397.39855207,0.0,0.0,0.0,0.0
TE,United Arab Emirates,2775968.575947,0.0,0.0,0.0,0.0
WA,United Kingdom,58881568.93548562,0.0,0.0,0.0,0.0
WA,United States,285587959.6213032,0.0,0.0,0.0,0.0
TE,United States Minor Outlying Islands,0.0,0.0,0.0,0.0,0.0
TE,United States Virgin Islands,124653.365221487,1.0,1.0,1.0,1.0
WA,Uruguay,3106437.9886528,1.0,0.0,0.0,0.0
WA,Uzbekistan,23048389.2455,1.0,0.0,0.0,0.0
TE,Vanuatu,183384.152629,1.0,1.0,1.0,1.0
TE,Venezuela,24843143.18797,0.0,1.0,1.0,0.0
TE,Vietnam,80127762.5276652,0.0,1.0,1.0,0.0
TE,Wallis and Futuna Islands,14496.999963,1.0,1.0,1.0,1.0
TE,Yemen,18021536.924561,1.0,0.0,1.0,0.0
TE,Zambia,10499056.6787,0.0,0.0,1.0,0.0
TE,Zimbabwe,12580949.5685,0.0,0.0,1.0,0.0
WA,Turkey,63670219.071225,0.0,0.0,0.0,0.0
